  -19.6200275      0.214715242       1.12278032       1.00000000    
  -19.6160278      0.219229534       1.13436687       1.00000000    
  -19.6120281      0.223790169       1.14594865       1.00000000    
  -19.6080284      0.228397116       1.15752554       1.00000000    
  -19.6040287      0.233050361       1.16909766       1.00000000    
  -19.6000290      0.237749889       1.18066502       1.00000000    
  -19.5960293      0.242495671       1.19222760       1.00000000    
  -19.5920296      0.247287706       1.20378530       1.00000000    
  -19.5880299      0.252125949       1.21533823       1.00000000    
  -19.5840302      0.257010400       1.22688639       1.00000000    
  -19.5800304      0.261941046       1.23842978       1.00000000    
  -19.5760307      0.266917855       1.24996829       1.00000000    
  -19.5720310      0.271940798       1.26150203       1.00000000    
  -19.5680313      0.277009875       1.27303100       1.00000000    
  -19.5640316      0.282125056       1.28455520       1.00000000    
  -19.5600319      0.287286311       1.29607451       1.00000000    
  -19.5560322      0.292493641       1.30758905       1.00000000    
  -19.5520325      0.297747016       1.31909883       1.00000000    
  -19.5480328      0.303046435       1.33060384       1.00000000    
  -19.5440331      0.308391839       1.34210408       1.00000000    
  -19.5400333      0.313783258       1.35359955       1.00000000    
  -19.5360336      0.319220632       1.36509013       1.00000000    
  -19.5320339      0.324703962       1.37657595       1.00000000    
  -19.5280342      0.330233216       1.38805699       1.00000000    
  -19.5240345      0.335808396       1.39953327       1.00000000    
  -19.5200348      0.341429472       1.41100478       1.00000000    
  -19.5160351      0.347096413       1.42247152       1.00000000    
  -19.5120354      0.352809221       1.43393350       1.00000000    
  -19.5080357      0.358567864       1.44539070       1.00000000    
  -19.5040359      0.364372343       1.45684302       1.00000000    
  -19.5000362      0.370222598       1.46829057       1.00000000    
  -19.4960365      0.376118660       1.47973335       1.00000000    
  -19.4920368      0.382060468       1.49117136       1.00000000    
  -19.4880371      0.388048023       1.50260460       1.00000000    
  -19.4840374      0.394081295       1.51403308       1.00000000    
  -19.4800377      0.400160283       1.52545679       1.00000000    
  -19.4760380      0.406284958       1.53687572       1.00000000    
  -19.4720383      0.412455291       1.54828990       1.00000000    
  -19.4680386      0.418671280       1.55969930       1.00000000    
  -19.4640388      0.424932897       1.57110393       1.00000000    
  -19.4600391      0.431240112       1.58250380       1.00000000    
  -19.4560394      0.437592924       1.59389889       1.00000000    
  -19.4520397      0.443991303       1.60528922       1.00000000    
  -19.4480400      0.450435221       1.61667478       1.00000000    
  -19.4440403      0.456924677       1.62805557       1.00000000    
  -19.4400406      0.463459641       1.63943160       1.00000000    
